"d_id","age","capacity","model","fail"
1748,19,"1TB","Fujitsu",FALSE
1749,22,"300GB","Hitachi",FALSE
1750,17,"600GB","Seagate",FALSE
1751,21,"600GB","Toshiba",FALSE
1752,16,"1TB","Seagate",FALSE
1753,15,"1TB","Fujitsu",FALSE
1754,14,"1TB","Toshiba",FALSE
1755,16,"600GB","Toshiba",FALSE
1756,23,"300GB","Seagate",FALSE
1757,15,"600GB","Seagate",FALSE
1758,16,"1TB","Seagate",FALSE
1759,14,"1TB","Hitachi",FALSE
1760,10,"1TB","Toshiba",FALSE
1761,13,"600GB","Seagate",FALSE
1762,14,"1TB","Toshiba",FALSE
1763,25,"1TB","Hitachi",FALSE
1764,23,"300GB","Seagate",FALSE
1765,19,"300GB","Fujitsu",FALSE
1766,11,"1TB","Seagate",FALSE
1767,11,"300GB","Fujitsu",FALSE
1768,22,"300GB","Hitachi",FALSE
1769,15,"600GB","Toshiba",FALSE
1770,11,"1TB","Hitachi",FALSE
1771,13,"300GB","Seagate",FALSE
1772,16,"600GB","Toshiba",FALSE
1773,22,"300GB","Hitachi",FALSE
1774,12,"600GB","Seagate",FALSE
1775,15,"1TB","Hitachi",FALSE
1776,15,"300GB","Seagate",FALSE
1777,17,"1TB","Seagate",FALSE
1778,19,"600GB","Hitachi",FALSE
1779,12,"300GB","Toshiba",FALSE
1780,17,"300GB","Seagate",FALSE
1781,17,"1TB","Seagate",FALSE
1782,20,"1TB","Toshiba",FALSE
1783,18,"300GB","Toshiba",FALSE
1784,16,"300GB","Fujitsu",FALSE
1785,14,"1TB","Seagate",FALSE
1786,11,"600GB","Hitachi",FALSE
1787,13,"600GB","Toshiba",FALSE
1788,18,"300GB","Toshiba",FALSE
1789,18,"600GB","Fujitsu",FALSE
1790,14,"1TB","Fujitsu",FALSE
1791,9,"600GB","Fujitsu",FALSE
1792,9,"1TB","Hitachi",FALSE
1793,22,"600GB","Fujitsu",FALSE
1794,17,"1TB","Fujitsu",FALSE
1795,20,"1TB","Toshiba",FALSE
1796,24,"600GB","Toshiba",FALSE
1797,18,"600GB","Fujitsu",FALSE
1798,17,"300GB","Fujitsu",FALSE
1799,16,"1TB","Seagate",FALSE
1800,13,"1TB","Hitachi",FALSE
1801,21,"300GB","Hitachi",FALSE
1802,11,"600GB","Hitachi",FALSE
1803,21,"600GB","Hitachi",FALSE
1804,18,"600GB","Toshiba",FALSE
1805,8,"600GB","Fujitsu",FALSE
1806,18,"600GB","Seagate",FALSE
1807,18,"300GB","Toshiba",FALSE
1808,13,"1TB","Hitachi",FALSE
1809,13,"600GB","Toshiba",FALSE
1810,8,"600GB","Seagate",FALSE
1811,17,"1TB","Fujitsu",FALSE
1812,14,"1TB","Seagate",FALSE
1813,13,"1TB","Seagate",FALSE
1814,15,"1TB","Fujitsu",FALSE
1815,17,"1TB","Seagate",FALSE
1816,12,"1TB","Seagate",FALSE
1817,12,"600GB","Hitachi",FALSE
1818,19,"1TB","Hitachi",FALSE
1819,11,"300GB","Seagate",FALSE
1820,19,"300GB","Fujitsu",FALSE
1821,15,"1TB","Fujitsu",FALSE
1822,9,"300GB","Seagate",FALSE
1823,15,"1TB","Fujitsu",FALSE
1824,17,"600GB","Toshiba",FALSE
1825,15,"1TB","Fujitsu",FALSE
1826,16,"600GB","Toshiba",FALSE
1827,17,"1TB","Toshiba",FALSE
1828,16,"300GB","Fujitsu",FALSE
1829,15,"600GB","Seagate",FALSE
1830,14,"600GB","Fujitsu",FALSE
1831,21,"1TB","Hitachi",FALSE
1832,16,"1TB","Seagate",FALSE
1833,23,"600GB","Hitachi",FALSE
1834,15,"1TB","Toshiba",FALSE
1835,21,"300GB","Seagate",FALSE
1836,19,"300GB","Fujitsu",FALSE
1837,15,"1TB","Toshiba",FALSE
1838,17,"1TB","Toshiba",FALSE
1839,10,"300GB","Toshiba",FALSE
1840,16,"300GB","Fujitsu",FALSE
1841,10,"300GB","Hitachi",FALSE
1842,12,"1TB","Fujitsu",FALSE
1843,12,"1TB","Hitachi",FALSE
1844,14,"600GB","Hitachi",FALSE
1845,13,"1TB","Hitachi",FALSE
1846,10,"1TB","Toshiba",FALSE
1847,12,"1TB","Toshiba",FALSE
1848,19,"300GB","Fujitsu",FALSE
1849,17,"1TB","Hitachi",FALSE
1850,13,"1TB","Fujitsu",FALSE
1851,22,"300GB","Fujitsu",FALSE
1852,12,"600GB","Hitachi",FALSE
1853,9,"300GB","Toshiba",FALSE
1854,11,"1TB","Hitachi",FALSE
1855,15,"600GB","Toshiba",FALSE
1856,21,"300GB","Hitachi",FALSE
1857,12,"1TB","Fujitsu",FALSE
1858,20,"300GB","Toshiba",FALSE
1859,15,"300GB","Toshiba",FALSE
1860,14,"1TB","Seagate",FALSE
1861,19,"300GB","Fujitsu",FALSE
1862,15,"300GB","Fujitsu",FALSE
1863,13,"600GB","Fujitsu",FALSE
1864,14,"600GB","Toshiba",FALSE
1865,15,"1TB","Hitachi",FALSE
1866,11,"300GB","Toshiba",FALSE
1867,17,"600GB","Toshiba",FALSE
1868,20,"1TB","Hitachi",FALSE
1869,17,"300GB","Seagate",FALSE
1870,14,"300GB","Fujitsu",FALSE
1871,12,"600GB","Seagate",FALSE
1872,15,"300GB","Hitachi",FALSE
1873,16,"600GB","Hitachi",FALSE
1874,12,"600GB","Seagate",FALSE
1875,17,"1TB","Seagate",FALSE
1876,13,"600GB","Hitachi",FALSE
1877,17,"600GB","Fujitsu",FALSE
1878,14,"600GB","Fujitsu",FALSE
1879,18,"1TB","Toshiba",FALSE
1880,18,"300GB","Seagate",FALSE
1881,11,"600GB","Toshiba",FALSE
1882,20,"600GB","Seagate",FALSE
1883,18,"300GB","Hitachi",FALSE
1884,13,"300GB","Hitachi",FALSE
1885,13,"600GB","Seagate",FALSE
1886,17,"1TB","Toshiba",FALSE
1887,13,"300GB","Toshiba",FALSE
1888,15,"600GB","Toshiba",FALSE
1889,14,"1TB","Toshiba",FALSE
1890,11,"300GB","Fujitsu",FALSE
1891,14,"1TB","Fujitsu",FALSE
1892,19,"1TB","Seagate",FALSE
1893,9,"600GB","Seagate",FALSE
1894,13,"600GB","Seagate",FALSE
1895,15,"300GB","Hitachi",FALSE
1896,17,"600GB","Toshiba",FALSE
1897,9,"300GB","Seagate",FALSE
1898,17,"1TB","Fujitsu",FALSE
1899,16,"1TB","Fujitsu",FALSE
1900,22,"300GB","Hitachi",FALSE
1901,10,"300GB","Toshiba",FALSE
1902,20,"600GB","Toshiba",FALSE
1903,11,"300GB","Fujitsu",FALSE
1904,17,"600GB","Toshiba",FALSE
1905,13,"1TB","Seagate",FALSE
1906,10,"300GB","Seagate",FALSE
1907,17,"1TB","Toshiba",FALSE
1908,14,"300GB","Seagate",FALSE
1909,20,"1TB","Seagate",FALSE
1910,14,"300GB","Hitachi",FALSE
1911,14,"1TB","Toshiba",FALSE
1912,17,"300GB","Hitachi",FALSE
1913,14,"300GB","Toshiba",FALSE
1914,16,"300GB","Toshiba",FALSE
1915,14,"1TB","Seagate",FALSE
1916,17,"600GB","Seagate",FALSE
1917,21,"600GB","Toshiba",FALSE
1918,22,"600GB","Toshiba",FALSE
1919,16,"300GB","Seagate",FALSE
1920,17,"300GB","Seagate",FALSE
1921,17,"1TB","Fujitsu",FALSE
1922,21,"1TB","Fujitsu",FALSE
1923,12,"300GB","Fujitsu",FALSE
1924,11,"600GB","Fujitsu",FALSE
1925,15,"600GB","Fujitsu",FALSE
1926,16,"1TB","Fujitsu",FALSE
1927,18,"600GB","Hitachi",FALSE
1928,20,"600GB","Fujitsu",FALSE
1929,16,"1TB","Seagate",FALSE
1930,10,"600GB","Seagate",FALSE
1931,20,"1TB","Seagate",FALSE
1932,25,"600GB","Fujitsu",FALSE
1933,24,"1TB","Fujitsu",FALSE
1934,18,"1TB","Hitachi",FALSE
1935,17,"1TB","Toshiba",FALSE
1936,13,"1TB","Hitachi",FALSE
1937,19,"600GB","Fujitsu",FALSE
1938,24,"600GB","Fujitsu",FALSE
1939,16,"1TB","Toshiba",FALSE
1940,22,"1TB","Hitachi",FALSE
1941,15,"600GB","Hitachi",FALSE
1942,25,"300GB","Toshiba",FALSE
1943,19,"600GB","Hitachi",FALSE
1944,17,"600GB","Seagate",FALSE
1945,11,"1TB","Seagate",FALSE
1946,20,"600GB","Toshiba",FALSE
1947,23,"300GB","Fujitsu",FALSE
1948,12,"300GB","Fujitsu",FALSE
1949,15,"300GB","Seagate",FALSE
1950,17,"300GB","Toshiba",FALSE
1951,28,"300GB","Toshiba",FALSE
1952,14,"600GB","Seagate",FALSE
1953,17,"1TB","Hitachi",FALSE
1954,16,"300GB","Hitachi",FALSE
1955,25,"1TB","Hitachi",FALSE
1956,26,"1TB","Hitachi",FALSE
1957,16,"600GB","Toshiba",FALSE
1958,19,"1TB","Hitachi",FALSE
1959,16,"300GB","Toshiba",FALSE
1960,24,"1TB","Toshiba",FALSE
1961,12,"300GB","Fujitsu",FALSE
1962,16,"1TB","Seagate",FALSE
1963,15,"1TB","Hitachi",FALSE
1964,16,"300GB","Hitachi",FALSE
1965,16,"300GB","Toshiba",FALSE
1966,19,"1TB","Seagate",FALSE
1967,12,"1TB","Hitachi",FALSE
1968,12,"1TB","Fujitsu",FALSE
1969,15,"1TB","Toshiba",FALSE
1970,29,"1TB","Hitachi",FALSE
1971,11,"1TB","Seagate",FALSE
1972,16,"1TB","Hitachi",FALSE
1973,19,"300GB","Hitachi",FALSE
1974,12,"600GB","Hitachi",FALSE
1975,16,"300GB","Seagate",FALSE
1976,16,"300GB","Seagate",FALSE
1977,20,"600GB","Toshiba",FALSE
1978,15,"300GB","Hitachi",FALSE
1979,19,"1TB","Toshiba",FALSE
1980,17,"1TB","Toshiba",FALSE
1981,21,"1TB","Toshiba",FALSE
1982,21,"300GB","Hitachi",FALSE
1983,16,"1TB","Hitachi",FALSE
1984,14,"600GB","Hitachi",FALSE
1985,19,"600GB","Fujitsu",FALSE
1986,23,"1TB","Toshiba",FALSE
1987,18,"1TB","Fujitsu",FALSE
1988,15,"600GB","Toshiba",FALSE
1989,10,"600GB","Toshiba",FALSE
1990,12,"1TB","Toshiba",FALSE
1991,18,"1TB","Toshiba",FALSE
1992,19,"1TB","Seagate",FALSE
1993,20,"600GB","Hitachi",FALSE
1994,21,"300GB","Hitachi",FALSE
1995,16,"1TB","Hitachi",FALSE
1996,24,"600GB","Seagate",FALSE
1997,17,"600GB","Toshiba",FALSE
1998,17,"1TB","Fujitsu",FALSE
1999,13,"1TB","Hitachi",FALSE
2000,24,"300GB","Hitachi",FALSE
2001,16,"1TB","Seagate",FALSE
2002,17,"300GB","Fujitsu",FALSE
2003,16,"300GB","Seagate",FALSE
2004,16,"1TB","Toshiba",FALSE
2005,16,"1TB","Hitachi",FALSE
2006,18,"600GB","Fujitsu",FALSE
2007,14,"300GB","Seagate",FALSE
2008,19,"1TB","Toshiba",FALSE
2009,10,"300GB","Fujitsu",FALSE
2010,14,"1TB","Toshiba",FALSE
2011,23,"300GB","Fujitsu",FALSE
2012,15,"1TB","Fujitsu",FALSE
2013,17,"600GB","Seagate",FALSE
2014,20,"1TB","Fujitsu",FALSE
2015,16,"1TB","Seagate",FALSE
2016,18,"600GB","Seagate",FALSE
2017,15,"1TB","Hitachi",FALSE
2018,19,"1TB","Fujitsu",FALSE
2019,15,"1TB","Toshiba",FALSE
2020,10,"1TB","Hitachi",FALSE
2021,12,"300GB","Fujitsu",FALSE
2022,14,"300GB","Toshiba",FALSE
2023,19,"1TB","Toshiba",FALSE
2024,18,"300GB","Fujitsu",FALSE
2025,14,"1TB","Toshiba",FALSE
2026,16,"300GB","Fujitsu",FALSE
2027,15,"600GB","Fujitsu",FALSE
2028,17,"1TB","Fujitsu",FALSE
2029,14,"300GB","Toshiba",FALSE
2030,17,"600GB","Seagate",FALSE
2031,18,"600GB","Fujitsu",FALSE
2032,22,"1TB","Seagate",FALSE
2033,14,"300GB","Fujitsu",FALSE
2034,15,"600GB","Seagate",FALSE
2035,16,"1TB","Hitachi",FALSE
2036,13,"300GB","Seagate",FALSE
2037,12,"1TB","Hitachi",FALSE
2038,15,"600GB","Hitachi",FALSE
2039,19,"300GB","Toshiba",FALSE
2040,14,"600GB","Fujitsu",FALSE
2041,9,"600GB","Hitachi",FALSE
2042,20,"600GB","Hitachi",FALSE
2043,24,"300GB","Toshiba",FALSE
2044,23,"600GB","Seagate",FALSE
2045,16,"1TB","Fujitsu",FALSE
2046,16,"300GB","Hitachi",FALSE
2047,14,"600GB","Fujitsu",FALSE
2048,10,"1TB","Seagate",FALSE
2049,28,"600GB","Fujitsu",FALSE
2050,23,"1TB","Toshiba",FALSE
2051,23,"600GB","Hitachi",FALSE
2052,21,"1TB","Toshiba",FALSE
2053,10,"300GB","Toshiba",FALSE
2054,12,"600GB","Hitachi",FALSE
2055,8,"300GB","Seagate",FALSE
2056,11,"600GB","Toshiba",FALSE
2057,22,"1TB","Toshiba",FALSE
2058,18,"300GB","Seagate",FALSE
2059,11,"1TB","Toshiba",FALSE
2060,23,"600GB","Seagate",FALSE
2061,13,"300GB","Toshiba",FALSE
2062,22,"600GB","Seagate",FALSE
2063,16,"300GB","Toshiba",FALSE
2064,15,"600GB","Hitachi",FALSE
2065,13,"600GB","Seagate",FALSE
2066,19,"600GB","Hitachi",FALSE
2067,15,"1TB","Seagate",FALSE
2068,8,"600GB","Hitachi",FALSE
2069,13,"300GB","Seagate",FALSE
2070,11,"1TB","Seagate",FALSE
2071,13,"600GB","Hitachi",FALSE
2072,13,"300GB","Fujitsu",FALSE
2073,13,"600GB","Toshiba",FALSE
2074,12,"600GB","Hitachi",FALSE
2075,12,"1TB","Toshiba",FALSE
2076,15,"300GB","Hitachi",FALSE
2077,16,"600GB","Seagate",FALSE
2078,19,"300GB","Toshiba",FALSE
2079,19,"1TB","Fujitsu",FALSE
2080,9,"600GB","Hitachi",FALSE
2081,12,"1TB","Seagate",FALSE
2082,15,"1TB","Fujitsu",FALSE
2083,23,"600GB","Toshiba",FALSE
2084,16,"1TB","Hitachi",FALSE
2085,14,"300GB","Fujitsu",FALSE
2086,27,"600GB","Seagate",FALSE
2087,22,"600GB","Fujitsu",FALSE
2088,15,"600GB","Seagate",FALSE
2089,13,"1TB","Hitachi",FALSE
2090,8,"600GB","Hitachi",FALSE
2091,15,"1TB","Hitachi",FALSE
2092,12,"300GB","Fujitsu",FALSE
2093,18,"1TB","Seagate",FALSE
2094,16,"300GB","Seagate",FALSE
2095,12,"1TB","Seagate",FALSE
2096,18,"600GB","Seagate",FALSE
2097,15,"600GB","Toshiba",FALSE
2098,11,"600GB","Hitachi",FALSE
2099,21,"1TB","Toshiba",FALSE
2100,12,"600GB","Seagate",FALSE
2101,12,"1TB","Hitachi",FALSE
2102,16,"1TB","Fujitsu",FALSE
2103,17,"1TB","Seagate",FALSE
2104,16,"600GB","Hitachi",FALSE
2105,19,"1TB","Fujitsu",FALSE
2106,22,"1TB","Fujitsu",FALSE
2107,19,"600GB","Fujitsu",FALSE
2108,12,"300GB","Hitachi",FALSE
2109,17,"300GB","Toshiba",FALSE
2110,20,"600GB","Toshiba",FALSE
2111,20,"300GB","Toshiba",FALSE
2112,14,"300GB","Seagate",FALSE
2113,22,"1TB","Fujitsu",FALSE
2114,13,"1TB","Fujitsu",FALSE
2115,17,"1TB","Fujitsu",FALSE
2116,17,"300GB","Hitachi",FALSE
2117,13,"1TB","Hitachi",FALSE
2118,14,"300GB","Toshiba",FALSE
2119,19,"1TB","Hitachi",FALSE
2120,12,"600GB","Fujitsu",FALSE
2121,15,"600GB","Hitachi",FALSE
2122,13,"1TB","Seagate",FALSE
2123,18,"300GB","Hitachi",FALSE
2124,14,"1TB","Hitachi",FALSE
2125,23,"300GB","Hitachi",FALSE
2126,7,"300GB","Seagate",FALSE
2127,18,"300GB","Seagate",FALSE
2128,9,"600GB","Seagate",FALSE
2129,14,"300GB","Hitachi",FALSE
2130,13,"1TB","Seagate",FALSE
2131,11,"1TB","Seagate",FALSE
2132,16,"300GB","Fujitsu",FALSE
2133,13,"300GB","Toshiba",FALSE
2134,22,"600GB","Seagate",FALSE
2135,18,"600GB","Fujitsu",FALSE
2136,20,"1TB","Toshiba",FALSE
2137,8,"1TB","Fujitsu",FALSE
2138,18,"1TB","Fujitsu",FALSE
2139,17,"600GB","Hitachi",FALSE
2140,19,"600GB","Toshiba",FALSE
2141,15,"600GB","Toshiba",FALSE
2142,9,"1TB","Seagate",FALSE
2143,12,"300GB","Toshiba",FALSE
2144,25,"300GB","Hitachi",FALSE
2145,9,"1TB","Toshiba",FALSE
2146,19,"600GB","Hitachi",FALSE
2147,16,"1TB","Toshiba",FALSE
2148,18,"1TB","Fujitsu",FALSE
2149,16,"1TB","Hitachi",FALSE
2150,15,"1TB","Hitachi",FALSE
2151,18,"300GB","Toshiba",FALSE
2152,9,"1TB","Fujitsu",FALSE
2153,16,"1TB","Toshiba",FALSE
2154,8,"600GB","Toshiba",FALSE
2155,10,"600GB","Seagate",FALSE
2156,20,"1TB","Hitachi",FALSE
2157,17,"1TB","Seagate",FALSE
2158,8,"1TB","Toshiba",FALSE
2159,21,"1TB","Fujitsu",FALSE
2160,18,"300GB","Hitachi",FALSE
2161,27,"1TB","Toshiba",FALSE
2162,12,"1TB","Toshiba",FALSE
2163,16,"300GB","Fujitsu",FALSE
2164,12,"1TB","Toshiba",FALSE
2165,16,"300GB","Toshiba",FALSE
2166,19,"1TB","Hitachi",FALSE
2167,19,"600GB","Seagate",FALSE
2168,19,"1TB","Fujitsu",FALSE
2169,19,"300GB","Toshiba",FALSE
2170,16,"600GB","Hitachi",FALSE
2171,14,"1TB","Hitachi",FALSE
2172,20,"1TB","Fujitsu",FALSE
2173,12,"1TB","Seagate",FALSE
2174,16,"300GB","Hitachi",FALSE
2175,15,"300GB","Hitachi",FALSE
2176,9,"300GB","Toshiba",FALSE
2177,13,"300GB","Toshiba",FALSE
2178,18,"300GB","Seagate",FALSE
2179,18,"1TB","Toshiba",FALSE
2180,15,"1TB","Toshiba",FALSE
2181,15,"300GB","Toshiba",FALSE
2182,23,"300GB","Toshiba",FALSE
2183,16,"600GB","Toshiba",FALSE
2184,16,"300GB","Toshiba",FALSE
2185,17,"300GB","Hitachi",FALSE
2186,16,"600GB","Toshiba",FALSE
2187,19,"1TB","Toshiba",FALSE
2188,22,"1TB","Seagate",FALSE
2189,10,"1TB","Hitachi",FALSE
2190,11,"300GB","Hitachi",FALSE
2191,11,"600GB","Fujitsu",FALSE
2192,17,"1TB","Seagate",FALSE
2193,17,"600GB","Hitachi",FALSE
2194,13,"1TB","Hitachi",FALSE
2195,14,"600GB","Fujitsu",FALSE
2196,16,"1TB","Fujitsu",FALSE
2197,22,"1TB","Toshiba",FALSE
2198,19,"1TB","Seagate",FALSE
2199,17,"1TB","Fujitsu",FALSE
2200,14,"1TB","Fujitsu",FALSE
2201,14,"1TB","Toshiba",FALSE
2202,19,"600GB","Seagate",FALSE
2203,11,"1TB","Seagate",FALSE
2204,16,"1TB","Seagate",FALSE
2205,15,"1TB","Seagate",FALSE
2206,11,"1TB","Toshiba",FALSE
2207,17,"600GB","Hitachi",FALSE
2208,13,"300GB","Toshiba",FALSE
2209,17,"300GB","Hitachi",FALSE
2210,18,"600GB","Toshiba",FALSE
2211,15,"300GB","Fujitsu",FALSE
2212,19,"1TB","Hitachi",FALSE
2213,19,"600GB","Seagate",FALSE
2214,12,"600GB","Seagate",FALSE
2215,14,"300GB","Seagate",FALSE
2216,8,"300GB","Hitachi",FALSE
2217,16,"300GB","Seagate",FALSE
2218,11,"1TB","Hitachi",FALSE
2219,19,"300GB","Toshiba",FALSE
2220,14,"1TB","Fujitsu",FALSE
2221,22,"300GB","Seagate",FALSE
2222,20,"1TB","Fujitsu",FALSE
2223,13,"1TB","Toshiba",FALSE
2224,11,"600GB","Fujitsu",FALSE
2225,24,"1TB","Toshiba",FALSE
2226,21,"1TB","Fujitsu",FALSE
2227,14,"1TB","Seagate",FALSE
2228,14,"1TB","Toshiba",FALSE
2229,18,"1TB","Toshiba",FALSE
2230,12,"600GB","Hitachi",FALSE
2231,18,"600GB","Fujitsu",FALSE
2232,19,"300GB","Hitachi",FALSE
2233,15,"300GB","Seagate",FALSE
2234,16,"600GB","Seagate",FALSE
2235,13,"1TB","Hitachi",FALSE
2236,11,"300GB","Fujitsu",FALSE
2237,26,"1TB","Toshiba",FALSE
2238,11,"300GB","Fujitsu",FALSE
2239,13,"1TB","Seagate",FALSE
2240,25,"300GB","Toshiba",FALSE
2241,22,"600GB","Hitachi",FALSE
2242,18,"300GB","Fujitsu",FALSE
2243,15,"300GB","Hitachi",FALSE
2244,12,"1TB","Toshiba",FALSE
2245,21,"300GB","Fujitsu",FALSE
2246,15,"1TB","Hitachi",FALSE
2247,14,"600GB","Hitachi",FALSE
2248,16,"1TB","Toshiba",FALSE
2249,12,"1TB","Hitachi",FALSE
2250,20,"300GB","Toshiba",FALSE
2251,15,"600GB","Fujitsu",FALSE
2252,16,"600GB","Toshiba",FALSE
2253,13,"1TB","Hitachi",FALSE
2254,20,"300GB","Hitachi",FALSE
2255,19,"1TB","Toshiba",FALSE
2256,10,"300GB","Hitachi",FALSE
2257,21,"300GB","Toshiba",FALSE
2258,13,"300GB","Seagate",FALSE
2259,16,"600GB","Hitachi",FALSE
2260,15,"300GB","Seagate",FALSE
2261,15,"1TB","Seagate",FALSE
2262,18,"600GB","Toshiba",FALSE
2263,23,"1TB","Seagate",FALSE
2264,14,"600GB","Fujitsu",FALSE
2265,21,"600GB","Toshiba",FALSE
2266,12,"600GB","Hitachi",FALSE
2267,17,"1TB","Hitachi",FALSE
2268,16,"1TB","Fujitsu",FALSE
2269,16,"1TB","Toshiba",FALSE
2270,11,"1TB","Seagate",FALSE
2271,14,"600GB","Toshiba",FALSE
2272,18,"600GB","Hitachi",FALSE
2273,21,"1TB","Seagate",FALSE
2274,10,"300GB","Toshiba",FALSE
2275,14,"1TB","Fujitsu",FALSE
2276,21,"600GB","Toshiba",FALSE
2277,14,"1TB","Toshiba",FALSE
2278,20,"1TB","Seagate",FALSE
2279,12,"1TB","Hitachi",FALSE
2280,20,"1TB","Toshiba",FALSE
2281,18,"300GB","Fujitsu",FALSE
2282,17,"1TB","Seagate",FALSE
2283,18,"1TB","Seagate",FALSE
2284,19,"300GB","Toshiba",FALSE
2285,11,"600GB","Fujitsu",FALSE
2286,14,"1TB","Seagate",FALSE
2287,18,"600GB","Fujitsu",FALSE
2288,15,"1TB","Hitachi",FALSE
2289,16,"1TB","Seagate",FALSE
2290,14,"1TB","Hitachi",FALSE
2291,18,"1TB","Fujitsu",FALSE
2292,21,"300GB","Seagate",FALSE
2293,16,"300GB","Seagate",FALSE
2294,15,"300GB","Hitachi",FALSE
2295,15,"600GB","Hitachi",FALSE
2296,18,"600GB","Toshiba",FALSE
2297,25,"300GB","Toshiba",FALSE
2298,10,"1TB","Fujitsu",FALSE
2299,16,"1TB","Fujitsu",FALSE
2300,12,"300GB","Toshiba",FALSE
2301,21,"300GB","Toshiba",FALSE
2302,21,"300GB","Toshiba",FALSE
2303,15,"1TB","Fujitsu",FALSE
2304,10,"600GB","Hitachi",FALSE
2305,13,"600GB","Seagate",FALSE
2306,19,"600GB","Seagate",FALSE
2307,14,"300GB","Toshiba",FALSE
2308,22,"1TB","Seagate",FALSE
2309,12,"1TB","Fujitsu",FALSE
2310,14,"300GB","Seagate",FALSE
2311,11,"300GB","Hitachi",FALSE
2312,17,"1TB","Toshiba",FALSE
2313,21,"300GB","Toshiba",FALSE
2314,14,"300GB","Seagate",FALSE
2315,11,"300GB","Toshiba",FALSE
2316,20,"300GB","Fujitsu",FALSE
2317,20,"1TB","Seagate",FALSE
2318,16,"300GB","Seagate",FALSE
2319,15,"1TB","Seagate",FALSE
2320,19,"600GB","Fujitsu",FALSE
2321,18,"1TB","Hitachi",FALSE
2322,15,"300GB","Toshiba",FALSE
2323,15,"600GB","Seagate",FALSE
2324,17,"1TB","Toshiba",FALSE
2325,14,"300GB","Hitachi",FALSE
2326,11,"1TB","Toshiba",FALSE
2327,19,"600GB","Hitachi",FALSE
2328,11,"600GB","Hitachi",FALSE
2329,14,"1TB","Seagate",FALSE
2330,28,"600GB","Toshiba",FALSE
2331,11,"300GB","Toshiba",FALSE
2332,20,"300GB","Toshiba",FALSE
2333,20,"1TB","Toshiba",FALSE
2334,14,"300GB","Hitachi",FALSE
2335,12,"1TB","Toshiba",FALSE
2336,14,"1TB","Toshiba",FALSE
2337,17,"300GB","Toshiba",FALSE
2338,15,"600GB","Fujitsu",FALSE
2339,15,"1TB","Toshiba",FALSE
2340,23,"600GB","Seagate",FALSE
2341,24,"600GB","Seagate",FALSE
2342,18,"300GB","Fujitsu",FALSE
2343,22,"1TB","Seagate",FALSE
2344,16,"600GB","Fujitsu",FALSE
2345,13,"600GB","Hitachi",FALSE
2346,20,"1TB","Hitachi",FALSE
2347,24,"600GB","Toshiba",FALSE
2348,12,"1TB","Seagate",FALSE
2349,10,"300GB","Toshiba",FALSE
2350,8,"600GB","Toshiba",FALSE
2351,18,"600GB","Fujitsu",FALSE
2352,12,"300GB","Toshiba",FALSE
2353,14,"300GB","Toshiba",FALSE
2354,18,"300GB","Fujitsu",FALSE
2355,16,"300GB","Fujitsu",FALSE
2356,19,"1TB","Seagate",FALSE
2357,19,"1TB","Seagate",FALSE
2358,15,"600GB","Hitachi",FALSE
2359,25,"300GB","Toshiba",FALSE
2360,13,"1TB","Hitachi",FALSE
2361,21,"1TB","Seagate",FALSE
2362,12,"600GB","Hitachi",FALSE
2363,17,"1TB","Hitachi",FALSE
2364,13,"1TB","Seagate",FALSE
2365,12,"600GB","Seagate",FALSE
2366,16,"1TB","Seagate",FALSE
2367,23,"600GB","Seagate",FALSE
2368,11,"1TB","Toshiba",FALSE
2369,15,"1TB","Fujitsu",FALSE
2370,23,"300GB","Fujitsu",FALSE
2371,22,"600GB","Hitachi",FALSE
2372,19,"1TB","Fujitsu",FALSE
2373,15,"1TB","Seagate",FALSE
2374,22,"300GB","Toshiba",FALSE
2375,14,"1TB","Hitachi",FALSE
2376,23,"300GB","Seagate",FALSE
2377,11,"300GB","Fujitsu",FALSE
2378,20,"300GB","Fujitsu",FALSE
2379,16,"600GB","Toshiba",FALSE
2380,7,"1TB","Fujitsu",FALSE
2381,13,"1TB","Fujitsu",FALSE
2382,19,"1TB","Hitachi",FALSE
2383,15,"300GB","Seagate",FALSE
2384,20,"600GB","Toshiba",FALSE
2385,17,"300GB","Seagate",FALSE
2386,19,"600GB","Seagate",FALSE
2387,14,"1TB","Toshiba",FALSE
2388,21,"1TB","Toshiba",FALSE
2389,17,"600GB","Toshiba",FALSE
2390,13,"1TB","Fujitsu",FALSE
2391,18,"300GB","Seagate",FALSE
2392,20,"600GB","Hitachi",FALSE
2393,14,"600GB","Fujitsu",FALSE
2394,15,"1TB","Toshiba",FALSE
2395,24,"1TB","Fujitsu",FALSE
2396,12,"600GB","Fujitsu",FALSE
2397,18,"1TB","Seagate",FALSE
2398,21,"1TB","Hitachi",FALSE
2399,12,"1TB","Seagate",FALSE
2400,13,"300GB","Toshiba",FALSE
2401,13,"1TB","Toshiba",FALSE
2402,12,"1TB","Seagate",FALSE
2403,24,"300GB","Seagate",FALSE
2404,13,"600GB","Seagate",FALSE
2405,7,"1TB","Seagate",FALSE
2406,22,"300GB","Fujitsu",FALSE
2407,12,"300GB","Fujitsu",FALSE
2408,11,"300GB","Toshiba",FALSE
2409,14,"600GB","Hitachi",FALSE
2410,20,"300GB","Fujitsu",FALSE
2411,23,"300GB","Toshiba",FALSE
2412,11,"1TB","Seagate",FALSE
2413,17,"1TB","Hitachi",FALSE
